ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,18908,8,PNBHOUSING,PNBHOUSING-EQ,EQ,PNBHOUSING-EQ,1100100018908,482,321.4,248924,0.05,1
NSECM,10700,8,SURANAT&P,SURANAT&P-EQ,EQ,SURANAT&P-EQ,1100100010700,4.75,4.35,4439350,0.05,1
NSECM,15288,8,HERCULES,HERCULES-EQ,EQ,HERCULES-EQ,1100100015288,147.05,98.05,815967,0.05,1
NSECM,17586,8,BIRLATYRE,BIRLATYRE-EQ,EQ,BIRLATYRE-EQ,1100100017586,28.25,25.65,3710479,0.05,1
NSECM,14927,8,SRIPIPES,SRIPIPES-EQ,EQ,SRIPIPES-EQ,1100100014927,216.5,144.4,554169,0.05,1
NSECM,14607,8,TGBHOTELS,TGBHOTELS-EQ,EQ,TGBHOTELS-EQ,1100100014607,5.25,4.75,957665,0.05,1
NSECM,20321,8,SHANKARA,SHANKARA-EQ,EQ,SHANKARA-EQ,1100100020321,513.4,342.3,233725,0.05,1
NSECM,148,8,ANSALAPI,ANSALAPI-EQ,EQ,ANSALAPI-EQ,1100100000148,7.65,6.95,5147139,0.05,1
NSECM,9917,8,NEOGEN,NEOGEN-EQ,EQ,NEOGEN-EQ,1100100009917,996.05,664.05,120453,0.05,1
NSECM,11543,8,COFORGE,COFORGE-EQ,EQ,COFORGE-EQ,1100100011543,3292.9,2694.2,33383,0.05,1
NSECM,14255,8,REDINGTON,REDINGTON-EQ,EQ,REDINGTON-EQ,1100100014255,213.3,142.2,562231,0.05,1
NSECM,28877,8,MORARJEE,MORARJEE-EQ,EQ,MORARJEE-EQ,1100100028877,17.75,16.15,1188067,0.05,1
NSECM,10457,8,ARVSMART,ARVSMART-EQ,EQ,ARVSMART-EQ,1100100010457,120.7,80.5,994006,0.05,1
NSECM,11212,8,SHK,SHK-EQ,EQ,SHK-EQ,1100100011212,143.8,95.9,834358,0.05,1
NSECM,1127,8,GHCL,GHCL-EQ,EQ,GHCL-EQ,1100100001127,283.25,188.85,423569,0.05,1
NSECM,1621,8,TATAINVEST,TATAINVEST-EQ,EQ,TATAINVEST-EQ,1100100001621,1356.5,904.4,88440,0.05,1
NSECM,34,8,ADORWELD,ADORWELD-EQ,EQ,ADORWELD-EQ,1100100000034,389.7,259.8,307923,0.05,1
NSECM,9354,8,TAJGVK,TAJGVK-EQ,EQ,TAJGVK-EQ,1100100009354,143.9,96,833679,0.05,1
NSECM,2909,8,RICOAUTO,RICOAUTO-EQ,EQ,RICOAUTO-EQ,1100100002909,48.3,32.2,2484373,0.05,1
NSECM,5633,8,J&KBANK,J&KBANK-EQ,EQ,J&KBANK-EQ,1100100005633,31.15,25.55,3527301,0.05,1
NSECM,14296,8,SEQUENT,SEQUENT-EQ,EQ,SEQUENT-EQ,1100100014296,267.45,178.35,448558,0.05,1
NSECM,18391,8,RBLBANK,RBLBANK-EQ,EQ,RBLBANK-EQ,1100100018391,258.6,211.6,425002,0.05,1
NSECM,757,8,CRISIL,CRISIL-EQ,EQ,CRISIL-EQ,1100100000757,2305.65,1537.15,51976,0.05,1
NSECM,11961,8,REVATHI,REVATHI-EQ,EQ,REVATHI-EQ,1100100011961,599.5,399.7,100289,0.05,1
NSECM,11427,8,NDTV,NDTV-EQ,EQ,NDTV-EQ,1100100011427,61.2,55.4,1715258,0.05,1
NSECM,10650,8,PRABHAT,PRABHAT-EQ,EQ,PRABHAT-EQ,1100100010650,104.1,69.4,1152676,0.05,1
NSECM,7420,8,MANAKALUCO,MANAKALUCO-EQ,EQ,MANAKALUCO-EQ,1100100007420,10.25,8.45,2142963,0.05,1
NSECM,24999,8,YAARII,YAARII-EQ,EQ,YAARII-EQ,1100100024999,159.15,144.05,659580,0.05,1
NSECM,7518,8,TREJHARA,TREJHARA-EQ,EQ,TREJHARA-EQ,1100100007518,39.4,35.7,386392,0.05,1
NSECM,21683,8,BRNL,BRNL-EQ,EQ,BRNL-EQ,1100100021683,38.9,26,2745164,0.05,1
NSECM,18284,8,HNGSNGBEES,HNGSNGBEES-EQ,EQ,HNGSNGBEES-EQ,1100100018284,416.26,277.52,11826,0.01,1
NSECM,13810,8,GREENPANEL,GREENPANEL-EQ,EQ,GREENPANEL-EQ,1100100013810,192.75,174.45,544588,0.05,1
NSECM,11654,8,LALPATHLAB,LALPATHLAB-EQ,EQ,LALPATHLAB-EQ,1100100011654,2779.05,2273.85,39505,0.05,1
NSECM,12847,8,KRISHANA,KRISHANA-EQ,EQ,KRISHANA-EQ,1100100012847,83.65,68.45,814229,0.05,1
NSECM,744,8,FSC,FSC-EQ,EQ,FSC-EQ,1100100000744,93.8,84.9,1119163,0.05,1
NSECM,10666,8,PNB,PNB-EQ,EQ,PNB-EQ,1100100010666,43.75,35.85,2504166,0.05,1
NSECM,7929,8,CADILAHC,CADILAHC-EQ,EQ,CADILAHC-EQ,1100100007929,483.9,396,227270,0.05,1
NSECM,18457,8,POWERINDIA,POWERINDIA-EQ,EQ,POWERINDIA-EQ,1100100018457,1568.1,1045.4,76498,0.05,1
NSECM,3757,8,VENKEYS,VENKEYS-EQ,EQ,VENKEYS-EQ,1100100003757,1942.8,1295.2,61758,0.05,1
NSECM,11983,8,SASKEN,SASKEN-EQ,EQ,SASKEN-EQ,1100100011983,1049.45,699.65,114341,0.05,1
NSECM,1205,8,GOODYEAR,GOODYEAR-EQ,EQ,GOODYEAR-EQ,1100100001205,1125.05,750.05,106659,0.05,1
NSECM,2882,8,RELCAPITAL,RELCAPITAL-EQ,EQ,RELCAPITAL-EQ,1100100002882,12.9,11.7,8129898,0.05,1
NSECM,20182,8,ASHOKA,ASHOKA-EQ,EQ,ASHOKA-EQ,1100100020182,129.5,86.4,926105,0.05,1
NSECM,8024,8,CINEVISTA,CINEVISTA-EQ,EQ,CINEVISTA-EQ,1100100008024,6.7,5.5,1878172,0.05,1
NSECM,1214,8,DELTAMAGNT,DELTAMAGNT-EQ,EQ,DELTAMAGNT-EQ,1100100001214,34.2,31,354831,0.05,1
NSECM,2988,8,SANDESH,SANDESH-EQ,EQ,SANDESH-EQ,1100100002988,860.8,573.9,139398,0.05,1
NSECM,13376,8,UTTAMSUGAR,UTTAMSUGAR-EQ,EQ,UTTAMSUGAR-EQ,1100100013376,116.15,77.45,1033047,0.05,1
NSECM,11351,8,PETRONET,PETRONET-EQ,EQ,PETRONET-EQ,1100100011351,260.45,213.15,421500,0.05,1
NSECM,14435,8,JKTYRE,JKTYRE-EQ,EQ,JKTYRE-EQ,1100100014435,130.9,107.1,840139,0.05,1
NSECM,14304,8,FSL,FSL-EQ,EQ,FSL-EQ,1100100014304,139.35,92.95,860387,0.05,1
NSECM,15056,8,SABTN,SABTN-EQ,EQ,SABTN-EQ,1100100015056,1.7,1.6,1142685,0.05,1
NSECM,14858,8,KOTAKGOLD,KOTAKGOLD-EQ,EQ,KOTAKGOLD-EQ,1100100014858,467.7,311.8,256545,0.05,1
NSECM,14813,8,ADSL,ADSL-EQ,EQ,ADSL-EQ,1100100014813,51.3,42,1641720,0.05,1
NSECM,19366,8,AHLWEST,AHLWEST-EQ,EQ,AHLWEST-EQ,1100100019366,269.75,179.85,380994,0.05,1
NSECM,2614,8,HERANBA,HERANBA-EQ,EQ,HERANBA-EQ,1100100002614,839.8,559.9,142848,0.05,1
NSECM,9668,8,HIKAL,HIKAL-EQ,EQ,HIKAL-EQ,1100100009668,184.55,123.05,650164,0.05,1
NSECM,17395,8,SETF10GILT,SETF10GILT-EQ,EQ,SETF10GILT-EQ,1100100017395,240.49,160.33,45409,0.01,1
NSECM,3745,8,WATERBASE,WATERBASE-EQ,EQ,WATERBASE-EQ,1100100003745,134.75,89.85,890468,0.05,1
NSECM,881,8,DRREDDY,DRREDDY-EQ,EQ,DRREDDY-EQ,1100100000881,4894.65,4004.75,22450,0.05,1
NSECM,10791,8,NUCLEUS,NUCLEUS-EQ,EQ,NUCLEUS-EQ,1100100010791,631.9,421.3,189897,0.05,1
NSECM,206,8,ASHIMASYN,ASHIMASYN-EQ,EQ,ASHIMASYN-EQ,1100100000206,18.9,17.1,5555459,0.05,1
NSECM,13501,8,ALLCARGO,ALLCARGO-EQ,EQ,ALLCARGO-EQ,1100100013501,159,106,754530,0.05,1
NSECM,919,8,EIHOTEL,EIHOTEL-EQ,EQ,EIHOTEL-EQ,1100100000919,123.5,82.4,971190,0.05,1
NSECM,781,8,DALMIASUG,DALMIASUG-EQ,EQ,DALMIASUG-EQ,1100100000781,199.55,133.05,601298,0.05,1
NSECM,20698,8,SCHAND,SCHAND-EQ,EQ,SCHAND-EQ,1100100020698,144.85,118.55,759278,0.05,1
NSECM,17635,8,ZYDUSWELL,ZYDUSWELL-EQ,EQ,ZYDUSWELL-EQ,1100100017635,2273.9,1516,52751,0.05,1
NSECM,2454,8,CENTRUM,CENTRUM-EQ,EQ,CENTRUM-EQ,1100100002454,31.15,25.55,3527125,0.05,1
NSECM,10577,8,KRBL,KRBL-EQ,EQ,KRBL-EQ,1100100010577,225.45,150.35,531981,0.05,1
NSECM,11325,8,MUKANDLTD,MUKANDLTD-EQ,EQ,MUKANDLTD-EQ,1100100011325,70.35,46.95,1704930,0.05,1
NSECM,14597,8,ALPHAGEO,ALPHAGEO-EQ,EQ,ALPHAGEO-EQ,1100100014597,226.65,185.45,208127,0.05,1
NSECM,4870,8,INDSWFTLAB,INDSWFTLAB-EQ,EQ,INDSWFTLAB-EQ,1100100004870,90.8,82.2,1156034,0.05,1
NSECM,13441,8,BALPHARMA,BALPHARMA-EQ,EQ,BALPHARMA-EQ,1100100013441,66.95,54.85,463436,0.05,1
NSECM,15174,8,TRIL,TRIL-EQ,EQ,TRIL-EQ,1100100015174,22.2,18.2,4334846,0.05,1
NSECM,21154,8,ERIS,ERIS-EQ,EQ,ERIS-EQ,1100100021154,742.95,495.35,161443,0.05,1
NSECM,17939,8,HINDCOPPER,HINDCOPPER-EQ,EQ,HINDCOPPER-EQ,1100100017939,138.25,125.15,758678,0.05,1
NSECM,21704,8,DCAL,DCAL-EQ,EQ,DCAL-EQ,1100100021704,148.2,98.8,809627,0.05,1
NSECM,2088,8,MAHSEAMLES,MAHSEAMLES-EQ,EQ,MAHSEAMLES-EQ,1100100002088,338.5,225.7,354428,0.05,1
NSECM,16669,8,BAJAJ-AUTO,BAJAJ-AUTO-EQ,EQ,BAJAJ-AUTO-EQ,1100100016669,4019.85,3289.05,27200,0.05,1
NSECM,11253,8,WELSPUNIND,WELSPUNIND-EQ,EQ,WELSPUNIND-EQ,1100100011253,100.3,66.9,1195622,0.05,1
NSECM,20178,8,AKSHARCHEM,AKSHARCHEM-EQ,EQ,AKSHARCHEM-EQ,1100100020178,293.6,195.8,268224,0.05,1
NSECM,18244,8,DEEPENR,DEEPENR-EQ,EQ,DEEPENR-EQ,1100100018244,47.5,31.7,1046399,0.05,1
NSECM,8696,8,VRLLOG,VRLLOG-EQ,EQ,VRLLOG-EQ,1100100008696,297.6,198.4,403203,0.05,1
NSECM,3676,8,VESUVIUS,VESUVIUS-EQ,EQ,VESUVIUS-EQ,1100100003676,1206.5,804.4,99450,0.05,1
NSECM,1927,8,LIQUIDETF,LIQUIDETF-EQ,EQ,LIQUIDETF-EQ,1100100001927,1200,800,11554,0.01,1
NSECM,3002,8,WONDERLA,WONDERLA-EQ,EQ,WONDERLA-EQ,1100100003002,251.5,167.7,477077,0.05,1
NSECM,312,8,TIINDIA,TIINDIA-EQ,EQ,TIINDIA-EQ,1100100000312,1415.6,943.8,84584,0.05,1
NSECM,1250,8,CASTROLIND,CASTROLIND-EQ,EQ,CASTROLIND-EQ,1100100001250,152.7,101.8,785363,0.05,1
NSECM,199,8,MASFIN,MASFIN-EQ,EQ,MASFIN-EQ,1100100000199,1034.85,689.95,115938,0.05,1
NSECM,22377,8,MAXHEALTH,MAXHEALTH-EQ,EQ,MAXHEALTH-EQ,1100100022377,247.65,165.15,483924,0.05,1
NSECM,15209,8,PPAP,PPAP-EQ,EQ,PPAP-EQ,1100100015209,287.2,191.5,417787,0.05,1
NSECM,5610,8,ASTRAZEN,ASTRAZEN-EQ,EQ,ASTRAZEN-EQ,1100100005610,3817.6,2545.1,31424,0.05,1
NSECM,13611,8,IRCTC,IRCTC-EQ,EQ,IRCTC-EQ,1100100013611,2094.45,1713.65,52479,0.05,1
NSECM,19,8,INEOSSTYRO,INEOSSTYRO-EQ,EQ,INEOSSTYRO-EQ,1100100000019,1197.5,798.4,100202,0.05,1
NSECM,14535,8,GOLDSHARE,GOLDSHARE-EQ,EQ,GOLDSHARE-EQ,1100100014535,4689,3126,25590,0.05,1
NSECM,15313,8,IRB,IRB-EQ,EQ,IRB-EQ,1100100015313,138.6,92.4,865621,0.05,1
NSECM,9921,8,ALANKIT,ALANKIT-EQ,EQ,ALANKIT-EQ,1100100009921,19.05,12.75,4674729,0.05,1
NSECM,3607,8,UNIVCABLES,UNIVCABLES-EQ,EQ,UNIVCABLES-EQ,1100100003607,175.9,117.3,682119,0.05,1
NSECM,1153,8,GLAXO,GLAXO-EQ,EQ,GLAXO-EQ,1100100001153,1710.35,1140.25,70134,0.05,1
NSECM,357,8,NAM-INDIA,NAM-INDIA-EQ,EQ,NAM-INDIA-EQ,1100100000357,367.55,300.75,299001,0.05,1
NSECM,11591,8,HDFCNIFETF,HDFCNIFETF-EQ,EQ,HDFCNIFETF-EQ,1100100011591,189.73,126.49,632471,0.01,1
NSECM,16657,8,ANIKINDS,ANIKINDS-EQ,EQ,ANIKINDS-EQ,1100100016657,17.85,16.15,907538,0.05,1
NSECM,910,8,EICHERMOT,EICHERMOT-EQ,EQ,EICHERMOT-EQ,1100100000910,2927.15,2394.95,37434,0.05,1
NSECM,14582,8,SRHHYPOLTD,SRHHYPOLTD-EQ,EQ,SRHHYPOLTD-EQ,1100100014582,332.4,221.6,361010,0.05,1
NSECM,13648,8,TALBROAUTO,TALBROAUTO-EQ,EQ,TALBROAUTO-EQ,1100100013648,276.9,184.6,403702,0.05,1
NSECM,22,8,ACC,ACC-EQ,EQ,ACC-EQ,1100100000022,1942.75,1589.55,56523,0.05,1
NSECM,6286,8,GULPOLY,GULPOLY-EQ,EQ,GULPOLY-EQ,1100100006286,117.5,78.4,1020914,0.05,1
NSECM,1338,8,SDBL,SDBL-EQ,EQ,SDBL-EQ,1100100001338,40.4,27,2125099,0.05,1
NSECM,5688,8,ARCHIES,ARCHIES-EQ,EQ,ARCHIES-EQ,1100100005688,12.7,10.4,1104605,0.05,1
NSECM,2183,8,SUNDARMHLD,SUNDARMHLD-EQ,EQ,SUNDARMHLD-EQ,1100100002183,95.75,63.85,1253104,0.05,1
NSECM,17376,8,EXCEL,EXCEL-EQ,EQ,EXCEL-EQ,1100100017376,2.8,2.6,3075315,0.05,1
NSECM,22602,8,PFS,PFS-EQ,EQ,PFS-EQ,1100100022602,24.65,16.45,4865938,0.05,1
NSECM,21508,8,COCHINSHIP,COCHINSHIP-EQ,EQ,COCHINSHIP-EQ,1100100021508,447.1,298.1,268342,0.05,1
NSECM,11735,8,GDL,GDL-EQ,EQ,GDL-EQ,1100100011735,201.6,165,545532,0.05,1
NSECM,11480,8,KRIDHANINF,KRIDHANINF-EQ,EQ,KRIDHANINF-EQ,1100100011480,4.45,4.05,3099280,0.05,1
NSECM,18292,8,IVZINGOLD,IVZINGOLD-EQ,EQ,IVZINGOLD-EQ,1100100018292,4851.1,3234.1,5139,0.05,1
NSECM,3021,8,SOTL,SOTL-EQ,EQ,SOTL-EQ,1100100003021,1219.5,813,98399,0.05,1
NSECM,17700,8,NETFLTGILT,NETFLTGILT-EQ,EQ,NETFLTGILT-EQ,1100100017700,26.26,17.52,425644,0.01,1
NSECM,29553,8,ICICINIFTY,ICICINIFTY-EQ,EQ,ICICINIFTY-EQ,1100100029553,190.56,127.04,629678,0.01,1
NSECM,1073,8,FOSECOIND,FOSECOIND-EQ,EQ,FOSECOIND-EQ,1100100001073,1458.7,972.5,82257,0.05,1
NSECM,11677,8,INDOCO,INDOCO-EQ,EQ,INDOCO-EQ,1100100011677,344.75,229.85,348051,0.05,1
NSECM,8124,8,AJANTPHARM,AJANTPHARM-EQ,EQ,AJANTPHARM-EQ,1100100008124,2152.5,1435,55676,0.05,1
NSECM,4503,8,MPHASIS,MPHASIS-EQ,EQ,MPHASIS-EQ,1100100004503,1903.85,1557.75,57700,0.05,1
NSECM,17527,8,MAHASTEEL,MAHASTEEL-EQ,EQ,MAHASTEEL-EQ,1100100017527,99.6,66.4,482992,0.05,1
NSECM,21541,8,JUBLINDS,JUBLINDS-EQ,EQ,JUBLINDS-EQ,1100100021541,239.25,159.55,491517,0.05,1
NSECM,1190,8,FMGOETZE,FMGOETZE-EQ,EQ,FMGOETZE-EQ,1100100001190,334.3,273.6,328952,0.05,1
NSECM,8050,8,MAHLIFE,MAHLIFE-EQ,EQ,MAHLIFE-EQ,1100100008050,660.7,440.5,181579,0.05,1
