ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,18659,8,MARATHON,MARATHON-EQ,EQ,MARATHON-EQ,1100100018659,76.35,69.15,1374525,0.05,1
NSECM,11536,8,TCS,TCS-EQ,EQ,TCS-EQ,1100100011536,3372.75,2759.55,30019,0.05,1
NSECM,14346,8,ORIENTALTL,ORIENTALTL-EQ,EQ,ORIENTALTL-EQ,1100100014346,8.1,6.7,932447,0.05,1
NSECM,203,8,ASHAPURMIN,ASHAPURMIN-EQ,EQ,ASHAPURMIN-EQ,1100100000203,125.4,113.5,837154,0.05,1
NSECM,14672,8,NAVINFLUOR,NAVINFLUOR-EQ,EQ,NAVINFLUOR-EQ,1100100014672,2891.1,2365.5,38030,0.05,1
NSECM,822,8,BANKA,BANKA-EQ,EQ,BANKA-EQ,1100100000822,72.7,65.8,336192,0.05,1
NSECM,1328,8,MARINE,MARINE-EQ,EQ,MARINE-EQ,1100100001328,76.6,51.1,1566067,0.05,1
NSECM,15332,8,NMDC,NMDC-EQ,EQ,NMDC-EQ,1100100015332,149.4,122.3,734843,0.05,1
NSECM,1530,8,INDIANHUME,INDIANHUME-EQ,EQ,INDIANHUME-EQ,1100100001530,230.85,153.95,519741,0.05,1
NSECM,2319,8,NCC,NCC-EQ,EQ,NCC-EQ,1100100002319,94.5,77.4,1162977,0.05,1
NSECM,18992,8,PIONDIST,PIONDIST-EQ,EQ,PIONDIST-EQ,1100100018992,125.1,83.4,437794,0.05,1
NSECM,21462,8,SPTL,SPTL-EQ,EQ,SPTL-EQ,1100100021462,4.4,4,20634405,0.05,1
NSECM,8163,8,SPENCERS,SPENCERS-EQ,EQ,SPENCERS-EQ,1100100008163,92.2,61.5,1301153,0.05,1
NSECM,25088,8,ASAHISONG,ASAHISONG-EQ,EQ,ASAHISONG-EQ,1100100025088,389.5,259.7,308070,0.05,1
NSECM,13859,8,VENUSREM,VENUSREM-EQ,EQ,VENUSREM-EQ,1100100013859,254.2,230,403583,0.05,1
NSECM,15303,8,BANG,BANG-EQ,EQ,BANG-EQ,1100100015303,35.1,23.4,443411,0.05,1
NSECM,17052,8,HARITASEAT,HARITASEAT-EQ,EQ,HARITASEAT-EQ,1100100017052,812.45,664.75,135391,0.05,1
NSECM,1330,8,HDFC,HDFC-EQ,EQ,HDFC-EQ,1100100001330,2789.05,2281.95,37739,0.05,1
NSECM,15229,8,LICNFNHGP,LICNFNHGP-EQ,EQ,LICNFNHGP-EQ,1100100015229,190.08,126.72,631308,0.01,1
NSECM,7053,8,ACCELYA,ACCELYA-EQ,EQ,ACCELYA-EQ,1100100007053,1078.35,718.95,111275,0.05,1
NSECM,14309,8,INDIANB,INDIANB-EQ,EQ,INDIANB-EQ,1100100014309,139.5,114.2,788297,0.05,1
NSECM,1143,8,NCPSESDL24,NCPSESDL24-EQ,EQ,NCPSESDL24-EQ,1100100001143,122.61,81.75,978633,0.01,1
NSECM,2263,8,BANDHANBNK,BANDHANBNK-EQ,EQ,BANDHANBNK-EQ,1100100002263,373.3,305.5,293087,0.05,1
NSECM,22243,8,EBBETF0425,EBBETF0425-EQ,EQ,EBBETF0425-EQ,1100100022243,1216.3,810.88,98655,0.01,1
NSECM,18226,8,MANINFRA,MANINFRA-EQ,EQ,MANINFRA-EQ,1100100018226,52.5,35,2285664,0.05,1
NSECM,21314,8,DYNPRO,DYNPRO-EQ,EQ,DYNPRO-EQ,1100100021314,582.7,388.5,205928,0.05,1
NSECM,9867,8,NEXTMEDIA,NEXTMEDIA-EQ,EQ,NEXTMEDIA-EQ,1100100009867,4.7,4.3,2187398,0.05,1
NSECM,1482,8,IFBAGRO,IFBAGRO-EQ,EQ,IFBAGRO-EQ,1100100001482,494.55,329.75,242626,0.05,1
NSECM,29050,8,ZUARI,ZUARI-EQ,EQ,ZUARI-EQ,1100100029050,115.2,76.8,1041650,0.05,1
NSECM,3327,8,SUDARSCHEM,SUDARSCHEM-EQ,EQ,SUDARSCHEM-EQ,1100100003327,659.2,439.5,181998,0.05,1
NSECM,19410,8,ROSSARI,ROSSARI-EQ,EQ,ROSSARI-EQ,1100100019410,1170.4,780.3,102508,0.05,1
NSECM,13430,8,KELLTONTEC,KELLTONTEC-EQ,EQ,KELLTONTEC-EQ,1100100013430,81.15,54.15,1478121,0.05,1
NSECM,1512,8,INDHOTEL,INDHOTEL-EQ,EQ,INDHOTEL-EQ,1100100001512,147.5,98.4,813183,0.05,1
NSECM,22365,8,ICICITECH,ICICITECH-EQ,EQ,ICICITECH-EQ,1100100022365,312.66,208.44,143259,0.01,1
NSECM,4037,8,AUSOMENT,AUSOMENT-EQ,EQ,AUSOMENT-EQ,1100100004037,55.6,45.5,445490,0.05,1
NSECM,1313,8,HARRMALAYA,HARRMALAYA-EQ,EQ,HARRMALAYA-EQ,1100100001313,191.5,127.7,603491,0.05,1
NSECM,16996,8,GISOLUTION,GISOLUTION-EQ,EQ,GISOLUTION-EQ,1100100016996,2.85,2.65,281608,0.05,1
NSECM,2972,8,ORIENTELEC,ORIENTELEC-EQ,EQ,ORIENTELEC-EQ,1100100002972,358.65,239.15,334404,0.05,1
NSECM,19679,8,ICICIGOLD,ICICIGOLD-EQ,EQ,ICICIGOLD-EQ,1100100019679,47.23,31.49,1342400,0.01,1
NSECM,10755,8,APTECHT,APTECHT-EQ,EQ,APTECHT-EQ,1100100010755,252.35,168.25,475479,0.05,1
NSECM,13730,8,INSPIRISYS,INSPIRISYS-EQ,EQ,INSPIRISYS-EQ,1100100013730,46.25,41.85,1295471,0.05,1
NSECM,11355,8,PTC,PTC-EQ,EQ,PTC-EQ,1100100011355,95.8,63.9,1252115,0.05,1
NSECM,530,8,BPL,BPL-EQ,EQ,BPL-EQ,1100100000530,28.25,25.65,1598533,0.05,1
NSECM,16915,8,WABCOINDIA,WABCOINDIA-EQ,EQ,WABCOINDIA-EQ,1100100016915,7513.55,5009.05,15970,0.05,1
NSECM,15419,8,DPSCLTD,DPSCLTD-EQ,EQ,DPSCLTD-EQ,1100100015419,14.4,11.8,7633536,0.05,1
NSECM,27037,8,TBZ,TBZ-EQ,EQ,TBZ-EQ,1100100027037,91.4,61,1312324,0.05,1
NSECM,342,8,CAMS,CAMS-EQ,EQ,CAMS-EQ,1100100000342,2235.2,1490.2,53665,0.05,1
NSECM,10578,8,MPSLTD,MPSLTD-EQ,EQ,MPSLTD-EQ,1100100010578,568.6,379.1,211025,0.05,1
NSECM,10588,8,SHREEPUSHK,SHREEPUSHK-EQ,EQ,SHREEPUSHK-EQ,1100100010588,165.9,110.6,723298,0.05,1
NSECM,19234,8,LAURUSLABS,LAURUSLABS-EQ,EQ,LAURUSLABS-EQ,1100100019234,428.25,285.55,279789,0.05,1
NSECM,14356,8,MINDTREE,MINDTREE-EQ,EQ,MINDTREE-EQ,1100100014356,2124.95,1738.65,51722,0.05,1
NSECM,14853,8,OMAXE,OMAXE-EQ,EQ,OMAXE-EQ,1100100014853,79.9,65.4,1376326,0.05,1
NSECM,8736,8,PNBGILTS,PNBGILTS-EQ,EQ,PNBGILTS-EQ,1100100008736,61.7,41.2,1943569,0.05,1
NSECM,3088,8,INDOSTAR,INDOSTAR-EQ,EQ,INDOSTAR-EQ,1100100003088,439.2,292.8,273212,0.05,1
NSECM,3579,8,UNICHEMLAB,UNICHEMLAB-EQ,EQ,UNICHEMLAB-EQ,1100100003579,377.4,251.6,317952,0.05,1
NSECM,17475,8,ICICINV20,ICICINV20-EQ,EQ,ICICINV20-EQ,1100100017475,93.15,62.11,58788,0.01,1
